timestamp_s,frame_idx,hybrid_state,hybrid_score,hybrid_raw_score,hybrid_ear,hybrid_ear_thr,hybrid_mar,hybrid_mar_thr,hybrid_perclos,hybrid_c_dur,hybrid_y_dur,hybrid_n_dur,hybrid_nn_score,hybrid_bio_score,hybrid_has_face,hybrid_calib_prog,baseline_state,baseline_score,baseline_raw_score,baseline_confidence,baseline_has_face
1780581911.430,0,CALIBRATING,0.0000,0.0000,0.2475,0.0000,0.0027,0.0000,0.0000,0.00,0.00,0.00,0.0000,0.0000,1,0.033,ACTIVE,0.4817,0.2541,0.6285,1
1780581911.611,1,CALIBRATING,0.0000,0.0000,0.2252,0.0000,0.0027,0.0000,0.0000,0.00,0.00,0.00,0.0000,0.0000,1,0.067,ACTIVE,0.2774,0.3200,0.5582,1
1780581911.780,3,CALIBRATING,0.0000,0.0000,0.2511,0.0000,0.0024,0.0000,0.0000,0.00,0.00,0.00,0.0000,0.0000,1,0.100,ACTIVE,0.3208,0.3589,0.6293,1
1780581911.971,5,CALIBRATING,0.0000,0.0000,0.2579,0.0000,0.0020,0.0000,0.0000,0.00,0.00,0.00,0.0000,0.0000,1,0.133,ACTIVE,0.2366,0.4326,0.6719,1
1780581912.129,6,CALIBRATING,0.0000,0.0000,0.2253,0.0000,0.0027,0.0000,0.0000,0.00,0.00,0.00,0.0000,0.0000,1,0.167,ACTIVE,0.2766,0.3319,0.6297,1
1780581912.319,7,CALIBRATING,0.0000,0.0000,0.2337,0.0000,0.0049,0.0000,0.0000,0.00,0.00,0.00,0.0000,0.0000,1,0.200,ACTIVE,0.4493,0.5216,0.5227,1
1780581912.498,9,CALIBRATING,0.0000,0.0000,0.2235,0.0000,0.0023,0.0000,0.0000,0.00,0.00,0.00,0.0000,0.0000,1,0.233,ACTIVE,0.2375,0.2656,0.6712,1
1780581912.678,10,CALIBRATING,0.0000,0.0000,0.2502,0.0000,0.0042,0.0000,0.0000,0.00,0.00,0.00,0.0000,0.0000,1,0.267,ACTIVE,0.2568,0.2948,0.5648,1
1780581912.870,11,CALIBRATING,0.0000,0.0000,0.2581,0.0000,0.0049,0.0000,0.0000,0.00,0.00,0.00,0.0000,0.0000,1,0.300,ACTIVE,0.2029,0.3431,0.6845,1
1780581913.038,13,CALIBRATING,0.0000,0.0000,0.2496,0.0000,0.0030,0.0000,0.0000,0.00,0.00,0.00,0.0000,0.0000,1,0.333,ACTIVE,0.1824,0.3459,0.6601,1
1780581913.222,15,CALIBRATING,0.0000,0.0000,0.2263,0.0000,0.0043,0.0000,0.0000,0.00,0.00,0.00,0.0000,0.0000,1,0.367,ACTIVE,0.2468,0.4365,0.6884,1
1780581913.407,16,CALIBRATING,0.0000,0.0000,0.2421,0.0000,0.0022,0.0000,0.0000,0.00,0.00,0.00,0.0000,0.0000,1,0.400,ACTIVE,0.5269,0.4253,0.6074,1
1780581913.583,17,CALIBRATING,0.0000,0.0000,0.2223,0.0000,0.0040,0.0000,0.0000,0.00,0.00,0.00,0.0000,0.0000,1,0.433,ACTIVE,0.4869,0.4699,0.5703,1
1780581913.755,19,CALIBRATING,0.0000,0.0000,0.2282,0.0000,0.0042,0.0000,0.0000,0.00,0.00,0.00,0.0000,0.0000,1,0.467,ACTIVE,0.4533,0.5359,0.5369,1
1780581913.945,21,CALIBRATING,0.0000,0.0000,0.2453,0.0000,0.0026,0.0000,0.0000,0.00,0.00,0.00,0.0000,0.0000,1,0.500,ACTIVE,0.2338,0.4896,0.5303,1
1780581914.126,23,CALIBRATING,0.0000,0.0000,0.2434,0.0000,0.0030,0.0000,0.0000,0.00,0.00,0.00,0.0000,0.0000,1,0.533,DROWSY,0.1634,0.4063,0.6557,1
1780581914.298,24,CALIBRATING,0.0000,0.0000,0.2375,0.0000,0.0043,0.0000,0.0000,0.00,0.00,0.00,0.0000,0.0000,1,0.567,DROWSY,0.3426,0.3429,0.6017,1
1780581914.488,25,CALIBRATING,0.0000,0.0000,0.2266,0.0000,0.0025,0.0000,0.0000,0.00,0.00,0.00,0.0000,0.0000,1,0.600,DROWSY,0.3813,0.4839,0.6253,1
1780581914.668,26,CALIBRATING,0.0000,0.0000,0.2324,0.0000,0.0046,0.0000,0.0000,0.00,0.00,0.00,0.0000,0.0000,1,0.633,DROWSY,0.4671,0.2866,0.5016,1
1780581914.834,27,CALIBRATING,0.0000,0.0000,0.2425,0.0000,0.0048,0.0000,0.0000,0.00,0.00,0.00,0.0000,0.0000,1,0.667,DROWSY,0.2483,0.5052,0.6964,1
1780581915.008,28,CALIBRATING,0.0000,0.0000,0.2531,0.0000,0.0038,0.0000,0.0000,0.00,0.00,0.00,0.0000,0.0000,1,0.700,DROWSY,0.4664,0.3240,0.6025,1
1780581915.198,29,CALIBRATING,0.0000,0.0000,0.2543,0.0000,0.0045,0.0000,0.0000,0.00,0.00,0.00,0.0000,0.0000,1,0.733,DROWSY,0.3580,0.4044,0.5777,1
1780581915.369,30,CALIBRATING,0.0000,0.0000,0.2242,0.0000,0.0030,0.0000,0.0000,0.00,0.00,0.00,0.0000,0.0000,1,0.767,DROWSY,0.4556,0.2930,0.5341,1
1780581915.566,32,CALIBRATING,0.0000,0.0000,0.2316,0.0000,0.0041,0.0000,0.0000,0.00,0.00,0.00,0.0000,0.0000,1,0.800,DROWSY,0.5176,0.5198,0.5933,1
1780581915.732,33,CALIBRATING,0.0000,0.0000,0.2511,0.0000,0.0029,0.0000,0.0000,0.00,0.00,0.00,0.0000,0.0000,1,0.833,DROWSY,0.3296,0.2849,0.6740,1
1780581915.917,34,CALIBRATING,0.0000,0.0000,0.2226,0.0000,0.0037,0.0000,0.0000,0.00,0.00,0.00,0.0000,0.0000,1,0.867,DROWSY,0.2438,0.4771,0.6664,1
